product_name, price(PLN), camera(Mpix), ram(GB), storage(GB), diagonal(inch), waterproof
Smartfon Apple  iPhone XR 64 GB Dual SIM Niebieski  (MRYA2CN/A),3 147.90 z³,12,3,64,6.1",IP67
Smartfon Apple  iPhone XR 64 GB Dual SIM ¯ó³ty  (MRY72PM/A),3 173.99 z³,12,3,64,6.1",IP67
Smartfon Apple  iPhone XR 64 GB Dual SIM Niebieski  (MRYA2PM/A),3 173.99 z³,12,3,64,6.1",IPXX
Smartfon Apple  iPhone XR 64 GB Dual SIM Czerwony  (MRY62CN/A),3 176.99 z³,12,3,64,6.1",IPXX
Smartfon Apple  iPhone XR 64 GB Dual SIM Koralowy  (MRY82PM/A),3 189 z³,12,3,64,6.1",IP67
Smartfon Apple iPhone 7 128 GB Czerwony  (MPRL2CN/A),3 253.95 z³,12,2,128,4.7",IPXX
Smartfon Apple  iPhone XR 128 GB Dual SIM Czerwony  (MRYE2PM/A),3 277.99 z³,12,3,128,6.1",IP67
Smartfon Apple  iPhone XR 128 GB Dual SIM ¯ó³ty  (MRYF2ZD/A),3 285.99 z³,12,3,128,6.1",IPXX
Smartfon Apple  iPhone XR 128 GB Dual SIM Czerwony  (2_299000),3 285.99 z³,12,3,128,6.1",IP67
Smartfon Apple  iPhone XR 128 GB Dual SIM ¯ó³ty ,3 295.95 z³,12,3,128,6.1",IP67
Smartfon Apple  iPhone XR 128 GB Dual SIM Bia³y  (MRYD2PM/A),3 381.99 z³,12,3,128,6.1",IP67
Smartfon Apple  iPhone XR 128 GB Dual SIM ¯ó³ty  (MRYF2PM/A),3 381.99 z³,12,3,128,6.1",IPXX
Smartfon Apple  iPhone XR 64 GB Czerwony  (MRY62ZD/A),3 391.99 z³,12,3,64,6.1",IPXX
Smartfon Apple  iPhone XR 64 GB Dual SIM ¯ó³ty  (MRY72ZD/A),3 391.99 z³,12,3,64,6.1",IPXX
Smartfon Apple  iPhone XR 64 GB Dual SIM Niebieski  (MRYA2ZD/A),3 391.99 z³,12,3,64,6.1",IP67
Smartfon Apple  iPhone XR 64 GB Dual SIM Koralowy  (MRY82ZD/A),3 391.99 z³,12,3,64,6.1",IPXX
Smartfon Apple  iPhone XR 128 GB Dual SIM Niebieski  (MRYH2PM/A),3 535.99 z³,12,3,128,6.1",IP67
Smartfon Apple  iPhone XR 128 GB Dual SIM Koralowy  (MRYG2PM/A),3 535.99 z³,12,3,128,6.1",IP67
Smartfon Apple  iPhone XR 128 GB Dual SIM Bia³y  (MRYD2PM/A                      ),3 535.99 z³,12,3,128,6.1",IPXX
Smartfon Apple iPhone XS 64 GB Dual SIM Szary  (MT9E2ZD/A),3 630.80 z³,12,4,64,5.8",IP68
Smartfon Apple  iPhone XR 128 GB Dual SIM Koralowy  (MRYG2ET/A),3 633.99 z³,12,3,128,6.1",IP67
Smartfon Apple  iPhone XR 128 GB Dual SIM Czerwony  (MRYE2ZD/A),3 633.99 z³,12,3,128,6.1",IPXX
Smartfon Apple  iPhone XR 128 GB Dual SIM Niebieski  (MRYH2ZD/A),3 633.99 z³,12,3,128,6.1",IPXX
Smartfon Apple iPhone 8 256 GB Szary  (MQ7C2PM/A),3 669.75 z³,12,2,256,4.7",IP67
Smartfon Apple iPhone 11 64 GB Dual SIM Bia³y  (MWLU2PM/A),3 669.99 z³,12,4,64,6.1",IPXX
Smartfon Apple iPhone 11 64 GB Dual SIM Fioletowy  (MWLX2PM/A),3 669.99 z³,12,4,64,6.1",IPXX
Smartfon Apple iPhone 8 Plus 256 GB Szary  (MQ8P2PM/A),3 761.79 z³,12,3,256,5.5",IPXX
Smartfon Apple iPhone 11 128 GB Dual SIM Zielony  (MWM62PM/A),3 817.99 z³,12,4,128,6.1",IPXX
Smartfon Apple iPhone 11 128 GB Dual SIM Czarny  (MWM02ZD/A),3 817.99 z³,12,4,128,6.1",IPXX
Smartfon Apple iPhone 11 128 GB Dual SIM ¯ó³ty  (MWM42ZD/A),3 817.99 z³,12,4,128,6.1",IPXX
Smartfon Apple iPhone 11 128 GB Dual SIM Czerwony  (MWM32ZD/A),3 843.99 z³,12,4,128,6.1",IPXX
Smartfon Apple iPhone 11 128 GB Dual SIM Bia³y  (MWM22PM/A),3 848.99 z³,12,4,128,6.1",IPXX
Smartfon Apple  iPhone XR 256 GB Dual SIM Czarny  (MRYJ2PM/A),3 879.75 z³,12,3,256,6.1",IP67
Smartfon Apple  iPhone XR 256 GB Dual SIM Bia³y ,3 879.75 z³,12,3,256,6.1",IP67
